UserAgent,Page Views
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-T330 Build/LMY47X),"41,117"
Dalvik/2.1.0 (Linux; U; Android 5.0; SAMSUNG-SM-G900A Build/LRX21T),"40,814"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Lenovo A7600-F Build/KOT49H),"40,734"
BBCBeacon/0.74b (GT-I8160; Android 2.3.6) news/2.5.4 UK,"40,436"
BBCNews/3.7.1.8 CFNetwork/711.1.12 Darwin/14.0.0,"40,101"
Dalvik/2.1.0 (Linux; U; Android 5.0.1; GT-I9506 Build/LRX22C),"39,270"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; STV100-4 Build/MMB29M),"38,985"
BBCBeacon/3.5 (iPad; iPhone OS 6.1.3) BBCNews/2.1.4,"38,883"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G935W8 Build/MMB29K),"38,687"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T320 Build/KOT49H),"38,392"
Dalvik/2.1.0 (Linux; U; Android 5.0.1; SAMSUNG-SGH-I337 Build/LRX22C),"38,203"
BBCNews/3.7.1.8 CFNetwork/672.0.8 Darwin/14.0.0,"37,830"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; GT-I9305 Build/KTU84P),"37,426"
BBCBeacon/0.74b (KFTHWA; Android 4.4.3) news/2.5.3 UK,"36,745"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; D5803 Build/23.4.A.1.264),"36,586"
BBCBeacon/0.74b (GT-P5210; Android 4.4.2) news/2.5.5 UK,"36,415"
BBCBeacon/0.74b (SD4930UR; Android 4.4.4) news/2.5.3 UK,"36,105"
BBCNews/3.6.0.149 CFNetwork/758.2.8 Darwin/15.0.0,"35,852"
BBCBeacon/0.74b (Kindle Fire; Android 2.3.4) news/2.2,"35,787"
